Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.237428830845436,0.00725256825008419,STM3646,STM4108,STM2285,STM3526,STM0322,STM4567,STM4326,STM1511,STM1884,STM2952,STM0840,STM0842,STM1135,STM1570,STM4036,STM4183,STM1448,STM4484,STM0542,STM2317,STM3179,STM1480,STM4126,STM0977,STM2196,STM3240,STM2971,STM1826,,,,,,,,,,,,
28,0.232826831104446,0.0460804579977143,STM3646,STM2285,STM3526,STM4326,STM1511,STM2952,STM0840,STM0842,STM1135,STM3542,STM4485,STM0369,STM0974,STM1448,STM3062,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM1124,STM2196,STM3240,STM0007,STM2473,STM2971,STM1826,,,,,,,,,,,,
29,0.236240790286386,0.0433985987701864,STM2285,STM3526,STM1290,STM4567,STM4326,STM1511,STM1884,STM0321,STM0840,STM0842,STM1620,STM0369,STM0974,STM4408,STM1291,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM2196,STM3240,STM0402,STM0608,STM2971,STM1826,STM1341,,,,,,,,,,,
29,0.240113577768991,0.0320378886267086,STM1749,STM2463,STM4108,STM2285,STM3526,STM4326,STM1511,STM1885,STM0321,STM2947,STM3709,STM3529,STM1620,STM0369,STM3597,STM4408,STM1291,STM3069,STM4184,STM4484,STM2317,STM3179,STM4569,STM1480,STM4126,STM3248,STM0519,STM0402,STM0608,,,,,,,,,,,
29,0.253768974327348,0.00790235800556699,STM0158,STM4108,STM2285,STM3526,STM4326,STM1511,STM1884,STM2952,STM0321,STM2947,STM3709,STM3529,STM1620,STM1448,STM4184,STM4484,STM2317,STM3179,STM4569,STM1480,STM4126,STM3248,STM0519,STM0977,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,,,,,
29,0.256270127372777,0.0243975513666332,STM2927,STM2285,STM3526,STM0322,STM4326,STM1511,STM1884,STM2952,STM0840,STM0842,STM1620,STM4408,STM1291,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM4578,STM2338,STM2466,STM2332,STM2041,STM0402,STM0608,STM1341,STM4559_S,,,,,,,,,,,
29,0.253770881307491,0.0078974743462964,STM3646,STM0158,STM2285,STM3526,STM4326,STM1511,STM1885,STM0321,STM0840,STM0842,STM2947,STM3709,STM1135,STM4183,STM1448,STM3069,STM4484,STM2317,STM3179,STM4569,STM1480,STM4126,STM3248,STM0519,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,,,,,
30,0.286837022177636,0.0158344073180337,STM0158,STM1463,STM1749,STM2463,STM2285,STM3526,STM1290,STM4326,STM0840,STM0842,STM2947,STM3709,STM1620,STM1448,STM0518,STM4184,STM4484,STM0542,STM2317,STM3179,STM1480,STM4126,STM1124,STM4467,STM3802,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,,,,
30,0.253815239454554,0.00780643081554557,STM3646,STM4108,STM2285,STM3526,STM0322,STM4567,STM4326,STM1511,STM1884,STM2952,STM2947,STM3529,STM1135,STM4183,STM0369,STM3597,STM4408,STM1291,STM4484,STM2317,STM3179,STM1480,STM4126,STM0977,STM2196,STM3240,STM0402,STM0608,STM2971,STM1826,,,,,,,,,,
30,0.295207816056285,0.00535350586973628,STM3646,STM1463,STM1749,STM2463,STM2285,STM3526,STM4326,STM1511,STM2947,STM3709,STM1135,STM0368,STM1448,STM1326,STM4062,STM3069,STM4184,STM4484,STM0542,STM2317,STM3179,STM1480,STM4126,STM1124,STM4467,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,,,,
30,0.295207816056285,0.00535350586973628,STM3646,STM1463,STM1749,STM2463,STM2285,STM3526,STM1290,STM4326,STM1511,STM2947,STM3709,STM1135,STM0370,STM1448,STM1326,STM4062,STM4184,STM4484,STM0542,STM2317,STM3179,STM1480,STM4126,STM1124,STM4467,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,,,,
30,0.295207816056285,0.00535350586992523,STM3646,STM0158,STM1463,STM1749,STM2463,STM2285,STM3526,STM1290,STM4326,STM1511,STM2947,STM3709,STM3068,STM2141,STM1135,STM1448,STM4184,STM4484,STM0542,STM2317,STM3179,STM1480,STM4126,STM1124,STM4467,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,,,,
31,0.2868531759063,0.0157843730935838,STM3646,STM1749,STM2463,STM2285,STM3526,STM4326,STM0840,STM0842,STM0517,STM2947,STM3709,STM1135,STM4183,STM0491,STM0369,STM1448,STM3069,STM4484,STM0542,STM2317,STM3179,STM1480,STM4126,STM1124,STM4467,STM3802,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,,,
31,0.286872973708071,0.0157724403743404,STM2927,STM1749,STM2463,STM2285,STM2009,STM3526,STM1290,STM4326,STM1511,STM0840,STM0842,STM2947,STM3709,STM1620,STM0370,STM1448,STM0518,STM4184,STM4484,STM0542,STM2317,STM3179,STM1480,STM4126,STM1124,STM4467,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,,,
31,0.227243657538157,0.00832262129159997,STM3646,STM2927,STM1749,STM2463,STM2285,STM3526,STM0322,STM4326,STM1885,STM2952,STM0840,STM0842,STM3709,STM1135,STM1570,STM4036,STM4183,STM0368,STM3597,STM4408,STM1291,STM4484,STM2317,STM3179,STM1480,STM4126,STM4578,STM2332,STM0402,STM0608,STM3708,,,,,,,,,
31,0.25376055778216,0.00798220021633345,STM2285,STM3526,STM0322,STM4570,STM4326,STM1511,STM1884,STM0840,STM0842,STM2947,STM3709,STM1620,STM0370,STM1448,STM0772,STM4585,STM3704,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM4578,STM3968,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,,,
31,0.253796704126239,0.00781503284276482,STM3646,STM2285,STM3526,STM0322,STM4326,STM1511,STM1884,STM0840,STM0842,STM2947,STM3709,STM3247,STM1135,STM4183,STM0369,STM1448,STM0772,STM4585,STM3704,STM4484,STM2317,STM3179,STM4569,STM1480,STM4126,STM0977,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,,,
31,0.254498713893196,0.00741747345572151,STM2285,STM3526,STM4567,STM4326,STM1511,STM0840,STM0842,STM2947,STM1620,STM3542,STM4485,STM0369,STM4408,STM1291,STM3069,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM3248,STM0519,STM1124,STM2196,STM3240,STM0402,STM0608,STM2971,STM1826,STM1341,,,,,,,,,
31,0.29446561309707,0.00582354068201874,STM1463,STM1749,STM2463,STM2285,STM3526,STM1290,STM4326,STM1511,STM2947,STM3709,STM1620,STM0369,STM1448,STM1326,STM4062,STM4184,STM4484,STM0542,STM2317,STM3179,STM1480,STM4126,STM3248,STM0519,STM1124,STM4467,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,,,
32,0.221773633248359,0.0534800282056012,STM3646,STM2927,STM2285,STM3526,STM0169,STM0861,STM4326,STM1511,STM2952,STM2947,STM3709,STM3068,STM2141,STM1135,STM4183,STM0368,STM1448,STM3062,STM4484,STM2317,STM3179,STM1480,STM4126,STM2332,STM0208,STM1124,STM2196,STM3240,STM3708,STM2971,STM1826,STM4559_S,,,,,,,,
32,0.254467779807234,0.00751600901099259,STM2122,STM2285,STM3526,STM4570,STM4326,STM1511,STM1885,STM2952,STM0840,STM0842,STM2947,STM1620,STM0370,STM3597,STM4408,STM1291,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM3248,STM0519,STM0977,STM1124,STM2196,STM3240,STM0402,STM0608,STM2971,STM1826,,,,,,,,
32,0.294483181608429,0.00577024687268221,STM1749,STM2463,STM2285,STM3526,STM1290,STM4567,STM4326,STM1511,STM2947,STM3709,STM1620,STM0491,STM0370,STM1448,STM1326,STM4062,STM4184,STM4484,STM0542,STM2317,STM3179,STM1480,STM4126,STM3248,STM0519,STM1124,STM4467,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,,
32,0.285045435307802,0.00435421299508426,STM3646,STM0158,STM1749,STM2463,STM4108,STM2285,STM3526,STM0322,STM4326,STM1511,STM0517,STM2947,STM3709,STM3529,STM1135,STM4183,STM0491,STM1448,STM3069,STM4484,STM2317,STM3179,STM1480,STM4126,STM2338,STM2466,STM4467,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,,
32,0.277916845818681,0.00372630354930801,STM3646,STM0158,STM1463,STM1749,STM2463,STM2285,STM3526,STM0322,STM4326,STM1511,STM2947,STM3709,STM3068,STM2141,STM1135,STM0974,STM1448,STM3069,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM2338,STM2466,STM4467,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,,
32,0.287159706058721,0.00288934729031116,STM3646,STM0158,STM1463,STM1749,STM2463,STM2285,STM3526,STM4326,STM1511,STM2952,STM0840,STM0842,STM2947,STM3709,STM1135,STM1448,STM3062,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM2338,STM2466,STM1124,STM4467,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,,
32,0.270851235462733,0.00137626052033306,STM1749,STM2463,STM2285,STM3526,STM4326,STM2952,STM0840,STM0842,STM2947,STM3709,STM1620,STM0491,STM0369,STM0974,STM1448,STM3062,STM0518,STM4184,STM4484,STM0542,STM2317,STM3179,STM1480,STM4126,STM1124,STM4467,STM3802,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,,
33,0.0718037719291725,0.0502052551811179,STM0158,STM1463,STM1749,STM2463,STM2285,STM3526,STM1290,STM4326,STM1511,STM1884,STM0321,STM2947,STM3709,STM1620,STM1448,STM1326,STM4062,STM0518,STM4184,STM4484,STM2317,STM3179,STM4569,STM1480,STM4126,STM2338,STM2466,STM4467,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,
33,0.0719959962519819,0.0500719454931098,STM3646,STM1749,STM2463,STM2285,STM3526,STM1290,STM4326,STM1511,STM1885,STM0321,STM2947,STM3709,STM1135,STM0491,STM0368,STM1448,STM1326,STM4062,STM4184,STM4484,STM2317,STM3179,STM4569,STM1480,STM4126,STM2338,STM2466,STM4467,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,
