Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.803841785430239,0.0139699721619877,b3916,b3708,b3008,b1851,b1200,b2797,b3117,b1814,b4471,b0261,b4381,b2868,b2366,b1723,b3821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.78703977552406,0.0318800183320604,b3399,b2744,b3708,b3008,b0871,b0160,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b2239,b3453,b0114,b1539,b2492,b0904,b2947,b2578,b1533,b3927,b2835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.788549224104065,0.0283828552317402,b3399,b2744,b3708,b3008,b0871,b2883,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0411,b4381,b2406,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b3821,b0516,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.703667098611313,0.0253276279821732,b3399,b4384,b2744,b3708,b3008,b0910,b3752,b0512,b0871,b2926,b2883,b1982,b2797,b3117,b1814,b4471,b2440,b1623,b0411,b4381,b0114,b2366,b2492,b0904,b1533,b3927,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.786990491788864,0.0319607023295987,b3399,b2744,b3708,b3008,b0871,b0160,b0517,b1982,b2797,b3117,b1814,b4471,b3449,b4374,b0675,b2361,b2291,b0507,b2239,b0114,b1539,b2492,b0904,b2947,b2578,b1533,b3927,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.699820164144226,0.0280016737097526,b3399,b4384,b2744,b3708,b3008,b3752,b0871,b2779,b3844,b2883,b1982,b2797,b3117,b1814,b4471,b1623,b2361,b2291,b0411,b4381,b0452,b0114,b2366,b2492,b0904,b1533,b3927,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.504275368718993,0.251490480542063,b2836,b3553,b4382,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b3617,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b1033,b0261,b0507,b2406,b0112,b0114,b1539,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.504272022333337,0.251488811640567,b2836,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b3617,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b0507,b2406,b0112,b2975,b0114,b3603,b2366,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.504272022333361,0.25148881164742,b2836,b4382,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b3617,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b0507,b2406,b0112,b2975,b0114,b3603,b1539,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.699804886690261,0.028410028383945,b2836,b3399,b2502,b4384,b2744,b3708,b3008,b0871,b2926,b0030,b2883,b1982,b2797,b3117,b1814,b4471,b1623,b4374,b2361,b2291,b0411,b0114,b1539,b2492,b0904,b1533,b3927,b0516,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.771888824186214,0.0312663103343027,b3399,b1241,b0351,b2744,b3708,b3008,b0871,b3115,b1849,b2296,b3617,b0160,b1238,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b0114,b1539,b2492,b0904,b1533,b3927,b3821,,,,,,,,,,,,,,,,,,,,,,,,,,,
