Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.794763758884239,0.216355970402486,b4382,b4384,b2744,b3708,b3008,b0871,b2925,b2097,b2407,b2690,b2797,b3117,b1814,b4471,b3945,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b1539,b2492,b0904,b1533,b3821,,,,,,,,,,,,,,,,,
27,0.68573876899271,0.8360766296651,b3399,b1241,b0351,b2502,b2744,b0871,b2779,b2925,b2097,b2690,b3616,b3589,b4374,b0675,b2361,b2291,b3945,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,
29,0.493073209113436,0.228175051326483,b4467,b4069,b3926,b0512,b2297,b2458,b1004,b3713,b1109,b0046,b3236,b1638,b4139,b1602,b2913,b4381,b3654,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,b3029,b1380,b1518,b2285,,,,,,,,,,,,,,,
30,0.43513764657254,0.83441668754289,b4467,b1478,b3942,b1732,b1241,b0351,b4069,b2297,b2458,b3844,b1004,b3713,b1109,b0046,b3616,b3589,b2210,b0261,b1602,b4381,b4064,b4464,b0114,b0529,b2492,b0904,b1380,b0516,b0606,b2285,,,,,,,,,,,,,,
30,0.450695752318186,0.196400889850207,b4467,b4069,b2930,b4232,b3697,b3925,b3115,b1849,b2296,b2779,b1004,b3713,b1109,b0046,b3236,b2690,b0261,b0505,b1602,b4381,b1727,b4064,b4464,b0114,b0529,b2492,b0904,b1380,b2660,b2285,,,,,,,,,,,,,,
31,0.436649657938679,0.673863841942991,b3553,b1478,b1241,b4069,b3115,b1849,b2296,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b1033,b2799,b3945,b1602,b4381,b3915,b4064,b4464,b0529,b2492,b0904,b1380,b2660,b1517,b0606,b2285,b1007,,,,,,,,,,,,,
31,0.50294613035033,0.200185971775431,b2836,b3553,b4069,b3708,b3926,b2297,b2458,b1004,b3713,b1109,b0046,b3236,b2797,b3117,b1814,b4471,b1033,b1602,b4381,b2868,b4064,b4464,b0114,b1539,b2492,b0904,b1533,b1380,b2660,b1511,b2285,,,,,,,,,,,,,
31,0.458756268333927,0.117113823330682,b4467,b1241,b0351,b4069,b2297,b2458,b2926,b1004,b3713,b1109,b0046,b3236,b2799,b3945,b1602,b2913,b4381,b3915,b0452,b1727,b4064,b4464,b0529,b2492,b0904,b1380,b1511,b0606,b2285,b1010,b4209,,,,,,,,,,,,,
31,0.516654232058223,0.105302054530004,b4467,b2836,b3708,b3008,b3926,b0871,b2297,b2458,b1004,b3713,b1109,b0046,b3236,b2797,b3117,b1814,b4471,b0261,b1602,b4381,b4064,b4464,b0114,b1539,b2492,b0904,b1533,b1380,b2660,b0516,b2285,,,,,,,,,,,,,
31,0.503188745741306,0.0973665191150058,b3553,b3708,b3926,b0871,b2297,b2458,b2926,b1004,b3713,b1109,b0046,b3236,b2797,b3117,b1814,b4471,b1033,b0505,b1602,b2913,b4381,b4064,b4464,b0114,b0529,b1539,b2492,b0904,b1380,b1517,b2285,,,,,,,,,,,,,
