Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.643308442092426,0.2732236027316,b3399,b4069,b2744,b3708,b3008,b3115,b1849,b2296,b0160,b2883,b1779,b2797,b3117,b1814,b4471,b1623,b3665,b4374,b2361,b2291,b0261,b0411,b3654,b3714,b3664,b0114,b2366,b0529,b2492,b0904,b1533,b3927,b3821,b3662,,,,,,,,,,,,,,,
34,0.767148265316626,0.17608763279345,b4384,b2744,b3708,b3008,b0871,b0030,b1238,b2883,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b2868,b4064,b4464,b0114,b0886,b2366,b2492,b0904,b0591,b2578,b1533,b3927,b3825,b0494,b1600,b4141,b1798,b3662,,,,,,,,,,,,,,,
35,0.648912576972743,0.274877637192183,b4069,b4384,b2744,b3708,b3008,b3752,b3115,b1849,b2296,b2883,b1779,b1982,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b0411,b1701,b1805,b4381,b2868,b4064,b4464,b0114,b1539,b2492,b0904,b2578,b1533,b3927,b3662,,,,,,,,,,,,,,
35,0.462162463977229,0.220804009667993,b4467,b1054,b1478,b1241,b4069,b4384,b2297,b2458,b2926,b0030,b1004,b3713,b1109,b0046,b3236,b1982,b0261,b0411,b2799,b3945,b1602,b2913,b2223,b4381,b3915,b4064,b4464,b0529,b2492,b0904,b1380,b0606,b2285,b1010,b4209,,,,,,,,,,,,,,
35,0.463160269960626,0.216759330554982,b4467,b4382,b4069,b4384,b3115,b1849,b2296,b0030,b2407,b1004,b3713,b1109,b0046,b3236,b1982,b0261,b2799,b3945,b1602,b2406,b3915,b1727,b0114,b0755,b3612,b0529,b2492,b0904,b1380,b2660,b3662,b0606,b2285,b1011,b4209,,,,,,,,,,,,,,
36,0.406476953997028,0.437519627081259,b4467,b1478,b4269,b0493,b3588,b3003,b3011,b1241,b4384,b3752,b0871,b2779,b2407,b1004,b3713,b1109,b0046,b3236,b1982,b0261,b0411,b2799,b3945,b1602,b2913,b4381,b3915,b0529,b2492,b0904,b1380,b1695,b0606,b2285,b1011,b4209,,,,,,,,,,,,,
36,0.363572075816585,0.572303894551552,b4467,b1478,b1241,b4069,b4384,b2297,b2458,b0030,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b3665,b0411,b2799,b3945,b1602,b0153,b2913,b4381,b3654,b3714,b3664,b0529,b2492,b0904,b0591,b1380,b1511,b0606,b2285,b1009,,,,,,,,,,,,,
36,0.365428318977919,0.601809920890517,b4467,b1478,b4382,b1241,b4069,b4384,b3752,b2297,b2458,b2779,b2407,b1004,b3713,b1109,b0046,b3236,b3665,b0411,b2799,b3945,b1602,b3915,b0452,b3654,b3714,b3664,b0529,b2492,b0904,b1380,b2660,b1517,b0606,b2285,b1010,b4209,,,,,,,,,,,,,
37,0.452892231224852,0.105232982149463,b4467,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b1982,b0675,b2361,b2291,b0261,b2799,b3945,b1602,b0153,b4381,b1727,b0529,b2492,b0904,b0591,b3927,b1380,b2660,b0606,b2285,b1011,,,,,,,,,,,,
37,0.492153474969104,0.0919174128852353,b4467,b3399,b4269,b0493,b3588,b3003,b3011,b2502,b2744,b0871,b2926,b1238,b1004,b3713,b1109,b0046,b3236,b1982,b0675,b2361,b0261,b2799,b3945,b1602,b2913,b4381,b3915,b1727,b0114,b0529,b2492,b0904,b1380,b0606,b2285,b1010,b4209,,,,,,,,,,,,
