Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.504535876765825,0.503254355640872,b3399,b1241,b0351,b4069,b2744,b3708,b3115,b1849,b2296,b0160,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b4374,b0675,b2361,b2291,b0261,b0507,b0112,b2975,b0114,b3603,b1539,b2492,b0904,b1533,b3821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.504535876765895,0.503254355646504,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b2407,b1238,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0261,b1701,b1805,b0507,b4381,b2406,b0112,b2975,b0114,b3603,b2366,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.504535876765818,0.503254355641047,b1241,b0351,b4069,b4384,b2744,b3708,b2297,b2458,b3617,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b0411,b0507,b0112,b2975,b0114,b3603,b2366,b2492,b0904,b1533,b3821,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.502487713795564,0.501184394663255,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b3617,b3844,b1238,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b0507,b4381,b2406,b0112,b0452,b2975,b0114,b3603,b2366,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.504803278580301,0.494715289863393,b3399,b4382,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b3617,b0160,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b0507,b4381,b2406,b0112,b0452,b2975,b0114,b3603,b1539,b2492,b0904,b1533,b0221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.502487235273202,0.215744406597082,b3399,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b3617,b0160,b1238,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b0507,b4381,b2406,b0112,b0452,b2975,b0114,b3603,b2366,b2492,b0904,b1533,b3029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.771650584273157,0.088560537027754,b4384,b2744,b3708,b3008,b0871,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b0261,b4381,b2406,b0511,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b2835,b0494,b0516,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.766832523271823,0.0879869771846359,b3831,b4384,b2744,b3708,b3008,b0871,b0030,b2883,b1982,b2797,b3117,b1814,b4471,b2440,b0261,b4381,b2406,b0452,b2868,b4064,b4464,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.684042967342806,0.0783373131754383,b2836,b4384,b2744,b3708,b3008,b3752,b0871,b2883,b1779,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b2868,b4064,b4464,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b4141,b1798,b3662,b4209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.502485254118771,0.501195441467189,b3399,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b3617,b0160,b1238,b1982,b2797,b3117,b1814,b4471,b2440,b0675,b2361,b0261,b0507,b4381,b2406,b0112,b0452,b2975,b0114,b3603,b2366,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
