Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.359134682380211,0.00231020355899697,PHATRDRAFT_34010,PHATRDRAFT_54219,PHATRDRAFT_30145,PHATRDRAFT_21988,Phatr3_EG02232,PHATRDRAFT_52208,PHATRDRAFT_12757,Phatr3_EG02269,PHATRDRAFT_49339,PHATRDRAFT_13951,PHATRDRAFT_31906,PHATRDRAFT_50742,PHATRDRAFT_43194,PHATRDRAFT_20948,PHATRDRAFT_26515,PHATRDRAFT_44546,PHATRDRAFT_11273,Phatr3_EG02569,PHATRDRAFT_21970,PHATRDRAFT_15777,PHATRDRAFT_43697,PHATRDRAFT_15536,,,,,,
22,0.117981060591783,0.00132478601948893,PHATRDRAFT_13987,PHATRDRAFT_draft877,PHATRDRAFT_34010,PHATRDRAFT_30145,Phatr3_EG02232,PHATRDRAFT_3969,PHATRDRAFT_49601,PHATRDRAFT_55126,PHATRDRAFT_22404,Phatr3_EG02269,PHATRDRAFT_13951,PHATRDRAFT_draft348,PHATRDRAFT_31599,PHATRDRAFT_50742,PHATRDRAFT_43194,PHATRDRAFT_20948,PHATRDRAFT_26515,PHATRDRAFT_21970,PHATRDRAFT_43697,PHATRDRAFT_49505,PHATRDRAFT_12452,Phatr3_EG02611,,,,,,
23,0.353889724245674,0.0279802650932324,PHATRDRAFT_34010,PHATRDRAFT_800,PHATRDRAFT_48983,PHATRDRAFT_49372,PHATRDRAFT_3046,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_31906,PHATRDRAFT_50742,PHATRDRAFT_50097,PHATRDRAFT_54731,PHATRDRAFT_43194,PHATRDRAFT_20948,PHATRDRAFT_26515,PHATRDRAFT_13005,PHATRDRAFT_50084,Phatr3_EG02569,PHATRDRAFT_42245,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_43697,PHATRDRAFT_28181,,,,,
24,0.355024121737514,0.0224282563518503,PHATRDRAFT_draft870,PHATRDRAFT_23871,PHATRDRAFT_13987,PHATRDRAFT_draft877,PHATRDRAFT_50577,PHATRDRAFT_54219,PHATRDRAFT_55126,Phatr3_EG02269,PHATRDRAFT_49339,PHATRDRAFT_13951,PHATRDRAFT_draft1572,PHATRDRAFT_29702,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_43194,PHATRDRAFT_20948,PHATRDRAFT_22803,PHATRDRAFT_26515,Phatr3_EG02569,PHATRDRAFT_21970,PHATRDRAFT_43697,PHATRDRAFT_49505,PHATRDRAFT_12452,Phatr3_EG02611,,,,
24,0.35822137039704,0.00678016770522173,PHATRDRAFT_13987,PHATRDRAFT_draft877,PHATRDRAFT_800,PHATRDRAFT_26290,PHATRDRAFT_55126,Phatr3_EG02269,PHATRDRAFT_49339,PHATRDRAFT_draft1572,PHATRDRAFT_31906,PHATRDRAFT_46664,PHATRDRAFT_50742,PHATRDRAFT_47090,PHATRDRAFT_43194,PHATRDRAFT_20948,PHATRDRAFT_26515,PHATRDRAFT_44546,PHATRDRAFT_11273,Phatr3_EG02569,PHATRDRAFT_54355,PHATRDRAFT_15777,PHATRDRAFT_43697,PHATRDRAFT_45428,PHATRDRAFT_49505,PHATRDRAFT_28181,,,,
25,0.354781831527023,0.0236140817570342,PHATRDRAFT_13987,PHATRDRAFT_draft877,PHATRDRAFT_34010,PHATRDRAFT_3969,PHATRDRAFT_26290,PHATRDRAFT_55126,PHATRDRAFT_22404,Phatr3_EG02269,PHATRDRAFT_34120,PHATRDRAFT_13951,PHATRDRAFT_draft1572,Phatr3_EG02042,PHATRDRAFT_36906,PHATRDRAFT_20948,PHATRDRAFT_26515,PHATRDRAFT_859,PHATRDRAFT_20310,PHATRDRAFT_21970,PHATRDRAFT_39772,PHATRDRAFT_43697,PHATRDRAFT_49505,PHATRDRAFT_12452,Phatr3_EG02611,PHATRDRAFT_15536,Phatr3_EG02292,,,
25,0.355464116174351,0.0202748198534672,PHATRDRAFT_draft870,PHATRDRAFT_23871,PHATRDRAFT_34010,Phatr3_EG02232,PHATRDRAFT_26290,PHATRDRAFT_55126,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_3046,PHATRDRAFT_34120,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_36913,PHATRDRAFT_43194,PHATRDRAFT_20948,PHATRDRAFT_26515,PHATRDRAFT_859,PHATRDRAFT_39914,PHATRDRAFT_48307,PHATRDRAFT_39772,PHATRDRAFT_54355,PHATRDRAFT_43697,PHATRDRAFT_28181,PHATRDRAFT_12452,Phatr3_EG02611,,,
25,0.353889724245682,0.027980265093236,PHATRDRAFT_34010,PHATRDRAFT_800,PHATRDRAFT_26290,PHATRDRAFT_48983,PHATRDRAFT_49372,PHATRDRAFT_3046,PHATRDRAFT_31906,PHATRDRAFT_50742,PHATRDRAFT_50097,PHATRDRAFT_36641,PHATRDRAFT_46880,PHATRDRAFT_37658,PHATRDRAFT_34976,PHATRDRAFT_43194,PHATRDRAFT_20948,PHATRDRAFT_26515,PHATRDRAFT_13005,PHATRDRAFT_50084,Phatr3_EG02569,PHATRDRAFT_21970,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_43697,PHATRDRAFT_54528,,,
26,0.356084992264088,0.0172361059082196,PHATRDRAFT_13987,PHATRDRAFT_draft877,PHATRDRAFT_48983,Phatr3_EG02269,PHATRDRAFT_49339,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_13951,PHATRDRAFT_31906,PHATRDRAFT_50742,PHATRDRAFT_36641,PHATRDRAFT_46880,PHATRDRAFT_37658,PHATRDRAFT_34976,PHATRDRAFT_43194,PHATRDRAFT_20948,PHATRDRAFT_26515,PHATRDRAFT_55069,PHATRDRAFT_13005,PHATRDRAFT_50084,Phatr3_EG02569,PHATRDRAFT_21970,PHATRDRAFT_54355,PHATRDRAFT_43697,PHATRDRAFT_45428,PHATRDRAFT_49505,,
26,0.356686451684693,0.0142924217179651,PHATRDRAFT_27726,PHATRDRAFT_13987,PHATRDRAFT_draft877,PHATRDRAFT_800,PHATRDRAFT_55192,PHATRDRAFT_49372,Phatr3_EG02269,PHATRDRAFT_draft1572,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_50097,PHATRDRAFT_54731,PHATRDRAFT_43194,PHATRDRAFT_20948,PHATRDRAFT_26515,PHATRDRAFT_35240,PHATRDRAFT_13005,PHATRDRAFT_50084,Phatr3_EG02569,PHATRDRAFT_21970,PHATRDRAFT_15777,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_43697,PHATRDRAFT_49505,,
26,0.118019033703876,0.00104197764121745,PHATRDRAFT_13987,PHATRDRAFT_draft877,PHATRDRAFT_800,PHATRDRAFT_55126,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_22404,PHATRDRAFT_3046,Phatr3_EG02269,PHATRDRAFT_34120,PHATRDRAFT_40430,PHATRDRAFT_31906,PHATRDRAFT_28191,PHATRDRAFT_46664,PHATRDRAFT_50742,PHATRDRAFT_47090,PHATRDRAFT_1341,PHATRDRAFT_43194,PHATRDRAFT_20948,PHATRDRAFT_26515,Phatr3_EG02569,PHATRDRAFT_21970,PHATRDRAFT_54355,PHATRDRAFT_15777,PHATRDRAFT_43697,PHATRDRAFT_49505,,
26,0.358709010535474,0.00439354191318064,PHATRDRAFT_13987,PHATRDRAFT_draft877,PHATRDRAFT_34010,PHATRDRAFT_50577,PHATRDRAFT_30145,PHATRDRAFT_55192,PHATRDRAFT_55126,Phatr3_EG02269,PHATRDRAFT_34120,PHATRDRAFT_draft1572,PHATRDRAFT_31599,PHATRDRAFT_54493,PHATRDRAFT_43194,PHATRDRAFT_20948,PHATRDRAFT_26515,PHATRDRAFT_859,PHATRDRAFT_21970,PHATRDRAFT_49073,PHATRDRAFT_19901,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_43697,PHATRDRAFT_49505,PHATRDRAFT_12452,Phatr3_EG02611,,
27,0.356390586133255,0.0157404574731928,PHATRDRAFT_26934,PHATRDRAFT_13987,PHATRDRAFT_draft877,PHATRDRAFT_800,PHATRDRAFT_12902,PHATRDRAFT_54219,PHATRDRAFT_26290,PHATRDRAFT_55126,PHATRDRAFT_48983,PHATRDRAFT_3046,Phatr3_EG02269,PHATRDRAFT_draft1572,PHATRDRAFT_31906,PHATRDRAFT_46664,PHATRDRAFT_54731,PHATRDRAFT_43194,PHATRDRAFT_20948,PHATRDRAFT_26515,PHATRDRAFT_13005,PHATRDRAFT_50084,PHATRDRAFT_1784,PHATRDRAFT_1358,PHATRDRAFT_21970,PHATRDRAFT_22117,PHATRDRAFT_43697,PHATRDRAFT_45428,PHATRDRAFT_49505,
28,0.352041771107711,0.0370245833791655,PHATRDRAFT_26934,PHATRDRAFT_34010,PHATRDRAFT_800,PHATRDRAFT_30145,PHATRDRAFT_55126,PHATRDRAFT_3046,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_draft1572,PHATRDRAFT_31906,PHATRDRAFT_36641,PHATRDRAFT_46880,PHATRDRAFT_37658,PHATRDRAFT_34976,Phatr3_EG02042,PHATRDRAFT_36906,PHATRDRAFT_20948,PHATRDRAFT_26515,PHATRDRAFT_13005,PHATRDRAFT_50084,PHATRDRAFT_35566,PHATRDRAFT_54355,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_43697,PHATRDRAFT_45428,PHATRDRAFT_28181
