Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.510009638661743,0.40113303600937,b3399,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b3708,b3008,b0871,b0160,b2797,b3117,b1814,b4471,b3616,b3589,b1623,b3665,b0675,b2361,b4381,b2406,b0112,b0452,b3654,b3714,b3664,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b0594,b4141,b1798,b1517,b4209,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.345466312727838,0.516883242438668,b1241,b0351,b4069,b4384,b3708,b3752,b3115,b1849,b2296,b2779,b2926,b3617,b2407,b1238,b1982,b2797,b3117,b1814,b4471,b4014,b0261,b2976,b4388,b3709,b4381,b2406,b3161,b0112,b2789,b3127,b2975,b0114,b3603,b2366,b2492,b0904,b3035,b1533,b3821,b1473,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.75152632568164,0.103501107404779,b3553,b4382,b0238,b0125,b4384,b2744,b3708,b3008,b3752,b0871,b2883,b0120,b1982,b0477,b2797,b3117,b1814,b4471,b1033,b2440,b0261,b0507,b3709,b2406,b3161,b0112,b2868,b4064,b4464,b0114,b0886,b2366,b2492,b0904,b3035,b2578,b1533,b3927,b1473,b0494,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.667566578260889,0.212472631574775,b2836,b3399,b4382,b4069,b2502,b4384,b2744,b3708,b3008,b2297,b2458,b2883,b2797,b3117,b1814,b4471,b1623,b3665,b2361,b2291,b0411,b3709,b2406,b3161,b0112,b3915,b3654,b3714,b3664,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b1473,b0594,b1511,b4141,b1798,b3662,b4209,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.344474739462234,0.515229748269992,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b2779,b0583,b1779,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b4374,b0675,b2361,b2291,b4014,b0261,b2976,b3709,b2913,b3161,b0112,b2789,b3127,b3915,b0452,b2975,b0114,b3603,b2366,b2492,b0904,b1533,b1473,b4141,b1798,b4209,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.317265260157785,0.474247317698545,b3553,b3399,b3942,b1732,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b2925,b2097,b3617,b1982,b2797,b3117,b1814,b4471,b3449,b3946,b0825,b1033,b4374,b0675,b2361,b2291,b0261,b3709,b3161,b0112,b0114,b0509,b3125,b1539,b2492,b0904,b3035,b1533,b1473,b0494,b0515,b4141,b1798,b2285,,,,,,,,,,,,,,,,,,,,,,,,
47,0.751940896667972,0.0527034909287556,b2836,b3553,b0474,b2518,b3831,b4384,b3708,b3008,b0871,b2781,b0030,b2407,b0651,b2162,b1759,b1982,b2797,b3117,b1814,b4471,b1033,b2440,b0596,b4161,b0261,b0507,b3709,b4381,b2406,b3161,b0112,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b3029,b3918,b4042,b1473,b1600,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,
49,0.344433904193562,0.515338563112946,b2836,b3399,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b2779,b2926,b0160,b1238,b0907,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0675,b2361,b0261,b3709,b4381,b2406,b3161,b0112,b2789,b3127,b3654,b2868,b3714,b3664,b4064,b4464,b2975,b0114,b3603,b1539,b2492,b0904,b0591,b1533,b1473,b0494,b4141,b1798,,,,,,,,,,,,,,,,,,,,,
50,0.356250092870663,0.271371548868254,b4467,b1478,b1241,b4069,b4384,b3708,b2297,b2458,b2779,b0030,b2407,b3844,b1238,b1004,b3713,b1109,b0046,b3236,b0937,b2797,b3117,b1814,b4471,b3665,b0261,b2799,b3945,b1602,b3709,b2913,b4381,b2406,b3161,b0112,b3654,b3714,b3664,b1539,b2492,b0904,b1533,b3821,b1380,b1473,b4141,b1798,b3662,b0606,b2285,b1010,,,,,,,,,,,,,,,,,,,,
50,0.495615982551547,0.156766061103676,b3553,b0586,b4069,b4384,b2744,b3708,b3008,b3752,b3115,b1849,b2296,b2407,b1004,b3713,b1109,b0046,b0121,b1982,b2797,b3117,b1814,b4471,b2210,b1033,b4374,b2361,b2291,b0261,b0411,b1701,b1805,b0507,b3709,b3161,b0112,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b1380,b1473,b0516,b4141,b1798,b3662,b2285,,,,,,,,,,,,,,,,,,,,
