Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.467819224833856,0.327884202657639,b4467,b3399,b1241,b0351,b4069,b2502,b2744,b3926,b3115,b1849,b2296,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b0937,b4374,b2361,b2291,b1602,b2913,b0529,b2492,b0904,b1380,b1771,b1517,b0606,b2285,b1007,,,,,,,,,
34,0.474565703952722,1.07646972498544,b4467,b4382,b0238,b0125,b0474,b1241,b0351,b4069,b4384,b3926,b2297,b2458,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b0477,b1602,b0153,b0590,b0529,b1539,b2492,b0904,b1380,b2660,b1771,b1517,b0606,b2285,b1008,,,,,,,,
34,0.50295492387613,0.132761239041601,b2836,b3553,b3942,b1732,b1241,b0351,b3926,b0871,b2926,b1004,b3713,b1109,b0046,b3236,b1033,b3551,b0261,b1602,b4219,b1832,b1778,b4381,b3915,b0529,b2492,b0904,b1380,b1710,b2480,b1771,b0606,b2285,b1007,b4209,,,,,,,,
34,0.499491791377068,0.131735715302461,b3553,b2066,b0474,b2518,b1241,b0351,b4384,b3926,b0871,b2926,b2407,b1004,b3713,b1109,b0046,b3236,b2498,b1033,b0261,b1602,b2913,b3915,b0529,b2492,b0904,b2835,b1380,b0494,b1695,b1771,b0606,b2285,b1010,b4209,,,,,,,,
35,0.510546563726697,0.0397519212821775,b3553,b3399,b4382,b1241,b0351,b3831,b4069,b4384,b2744,b3752,b3926,b2297,b2458,b2926,b0160,b1004,b3713,b1109,b0046,b3236,b1033,b2361,b2291,b0261,b1602,b3915,b0529,b2492,b0904,b1380,b2660,b1771,b0606,b2285,b4209,,,,,,,
35,0.463147175175152,0.122150204390254,b4467,b2836,b2066,b0238,b0125,b1241,b0351,b4384,b3926,b0871,b2925,b2097,b1004,b3713,b1109,b0046,b3236,b0477,b2498,b3946,b0825,b1602,b2913,b3915,b0755,b3612,b0529,b2492,b0904,b1380,b1771,b0606,b2285,b1011,b4209,,,,,,,
35,0.51054826455355,0.0397520538065057,b4467,b2066,b0238,b0125,b1241,b0351,b4069,b2744,b3926,b3115,b1849,b2296,b2926,b1004,b3713,b1109,b0046,b3236,b0477,b2498,b2361,b2291,b0261,b3945,b1602,b3915,b0529,b2492,b0904,b1380,b2660,b0606,b2285,b1011,b4209,,,,,,,
35,0.456968486206743,0.722324855128241,b2836,b3553,b1241,b0351,b3403,b3926,b2930,b4232,b3697,b3925,b0871,b1850,b1004,b3713,b1109,b0046,b3236,b1638,b1779,b2690,b4139,b1033,b1493,b3517,b3945,b1602,b0507,b2913,b4381,b1297,b2492,b0904,b3029,b1380,b2285,,,,,,,
36,0.449547033082718,0.932215454789003,b4467,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b3926,b0871,b2925,b2097,b1004,b3713,b1109,b0046,b3236,b1638,b3908,b1656,b4139,b3946,b0825,b1493,b3517,b4015,b1602,b0755,b3612,b2492,b0904,b1380,b1301,b2660,b1771,b2285,,,,,,
36,0.502042675488062,0.0595884491737488,b4467,b3399,b0238,b0125,b1241,b0351,b2744,b3926,b0871,b3115,b1849,b2296,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b2883,b0937,b0477,b4374,b2361,b2291,b3945,b1602,b0529,b2492,b0904,b1380,b2660,b1511,b0606,b2285,b1011,,,,,,
37,0.459231522097811,1.51519146901763,b3553,b3942,b1732,b1241,b0351,b4069,b3926,b3115,b1849,b2296,b3844,b1004,b3713,b1109,b0046,b1779,b2463,b2210,b1033,b3551,b1602,b4219,b1832,b1778,b4381,b3915,b0529,b2492,b0904,b1380,b1710,b2480,b1771,b1518,b0606,b2285,b1011,,,,,
37,0.46009111241355,0.571182275740464,b3553,b1241,b0351,b4384,b3403,b3926,b2930,b4232,b3697,b3925,b0871,b1850,b1004,b3713,b1109,b0046,b3236,b1638,b1779,b3908,b1656,b0477,b1302,b2662,b4139,b3946,b0825,b1033,b3945,b1602,b0507,b2913,b2492,b0904,b1380,b1695,b2285,,,,,
39,0.492722285762058,0.552501570716093,b3553,b4382,b3942,b1732,b1241,b0351,b4069,b4384,b3926,b3115,b1849,b2296,b2926,b2407,b1004,b3713,b1109,b0046,b2463,b2210,b1033,b3551,b1602,b4219,b1832,b1778,b3915,b0529,b2492,b0904,b1380,b1710,b2480,b1771,b1517,b0606,b2285,b1007,b4209,,,
42,0.452909742302568,0.784420877920108,b4467,b3942,b1732,b0238,b0125,b1241,b0351,b3831,b4069,b2744,b3926,b2297,b2458,b2779,b3844,b1004,b3713,b1109,b0046,b2463,b0477,b2498,b2210,b2361,b2291,b3551,b1602,b4219,b1832,b1778,b3915,b0529,b2492,b0904,b1380,b1710,b2480,b1771,b1518,b0606,b2285,b1011
