Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.489686254606568,0.0642495648474239,b4467,b1478,b3399,b1241,b4069,b2744,b2297,b2458,b2779,b1004,b3713,b1109,b0046,b3236,b1638,b1982,b4139,b0675,b2361,b0261,b1602,b0507,b2913,b4381,b2975,b0114,b3603,b0529,b2492,b0904,b3029,b1380,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.612467983089337,0.00170572333341184,b3399,b1241,b0351,b2744,b3708,b3008,b0871,b2779,b2925,b2097,b3617,b0160,b2690,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b3945,b2913,b0114,b0529,b1539,b2492,b0904,b1533,b3927,b3825,b0494,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.628953104880479,0.266422857978302,b2836,b4382,b4069,b4384,b3708,b3008,b3115,b1849,b2296,b2779,b0030,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b0261,b2342,b3845,b2406,b0112,b0114,b0886,b0529,b1539,b2492,b0904,b3035,b2578,b1533,b3927,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.632202475391982,0.145112805920691,b3399,b2502,b2744,b3708,b3008,b0871,b2925,b2097,b1779,b2690,b1982,b2797,b3117,b1814,b4471,b0596,b4374,b0675,b2361,b2291,b0261,b0822,b1727,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b4042,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.484931868342952,0.192943398612341,b4467,b2836,b3399,b4069,b2744,b3708,b3926,b2297,b2458,b2926,b1004,b3713,b1109,b0046,b3236,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b1602,b0507,b4381,b2975,b0114,b3603,b2366,b2492,b0904,b1533,b1380,b2660,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.486526027770112,0.049957789957024,b3553,b3399,b4269,b0493,b3588,b3003,b3011,b2744,b0871,b2926,b1004,b3713,b1109,b0046,b3236,b1638,b3908,b1656,b1982,b4139,b1033,b0675,b2361,b0261,b1602,b0507,b2913,b4381,b1727,b0114,b0529,b2492,b0904,b1380,b1695,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.714483541269985,0.302653322711187,b3399,b0586,b4069,b2744,b3708,b3008,b2297,b2458,b2883,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b1701,b1805,b0507,b4381,b4064,b4464,b0114,b2366,b2492,b0904,b2947,b2578,b1533,b3927,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.442856726351894,0.371517758705853,b3553,b1478,b3399,b1241,b4069,b4384,b2744,b3752,b2297,b2458,b2779,b1004,b3713,b1109,b0046,b3236,b1638,b1982,b4139,b1033,b1623,b4014,b0261,b2976,b0411,b2799,b3945,b1602,b0507,b4381,b3915,b0452,b0529,b2492,b0904,b2954,b3029,b1380,b2660,b2285,b1009,,,,,,,,,,,,,,,,,,,,,
42,0.43655975140658,0.245614409699195,b3553,b1478,b4382,b1241,b4069,b4384,b3752,b2297,b2458,b2926,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b1982,b0477,b4139,b1033,b4014,b0261,b2976,b2799,b3945,b1602,b0507,b2406,b3915,b0529,b2492,b0904,b2954,b3029,b1380,b1301,b2660,b1695,b3662,b2285,b1011,,,,,,,,,,,,,,,,,,,,
42,0.479403324531292,0.0443367974916724,b3553,b3399,b4069,b4384,b2744,b3115,b1849,b2296,b0160,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b1779,b1982,b4139,b1033,b0675,b2361,b0261,b2799,b3945,b1602,b2913,b4381,b3915,b1727,b0114,b0509,b3125,b0529,b2492,b0904,b2954,b3927,b3029,b1380,b2285,b1011,,,,,,,,,,,,,,,,,,,,
43,0.335630660001003,0.23476883596426,b3553,b1478,b4382,b1241,b0351,b4069,b4384,b3752,b3115,b1849,b2296,b3617,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1638,b1779,b0937,b1982,b4139,b1033,b1623,b0261,b2799,b3945,b1602,b0507,b2913,b2406,b0114,b0529,b2492,b0904,b2954,b3029,b1380,b3662,b2285,b1009,,,,,,,,,,,,,,,,,,,
43,0.425239989643978,0.297449277649396,b3553,b1478,b4382,b1241,b4069,b4384,b3752,b2297,b2458,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1638,b1779,b0937,b1982,b0477,b4139,b1033,b4014,b0261,b2976,b2799,b3945,b1602,b2406,b0509,b3125,b0529,b2492,b0904,b2954,b3029,b1380,b1301,b2660,b3662,b2285,b1009,,,,,,,,,,,,,,,,,,,
44,0.414757060988548,0.29011661931108,b3553,b1478,b4382,b1241,b4069,b4384,b3752,b2297,b2458,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1638,b2937,b0937,b1982,b0477,b4139,b1033,b4014,b0261,b2976,b2799,b3945,b1602,b2406,b0509,b3125,b0755,b3612,b0529,b2492,b0904,b2954,b3029,b1380,b2660,b3662,b2285,b1010,,,,,,,,,,,,,,,,,,
44,0.448515025562502,0.172959092626074,b3553,b4269,b0493,b3588,b3003,b3011,b4384,b3752,b0871,b2779,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b3908,b1656,b1982,b4139,b1033,b1623,b0261,b2799,b3945,b1602,b0507,b4381,b2406,b3915,b1727,b0114,b0529,b2492,b0904,b2954,b3927,b1380,b2660,b3662,b0221,b2285,b1007,,,,,,,,,,,,,,,,,,
44,0.4942485130049,0.0241631713628536,b3553,b4382,b4269,b0493,b3846,b3588,b3003,b3011,b4384,b3752,b0871,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b1779,b1982,b4139,b1033,b1623,b0261,b2799,b3945,b1602,b2406,b3915,b1727,b0114,b0509,b3125,b0529,b2492,b0904,b2954,b3927,b3029,b1380,b2660,b3662,b2285,b1009,,,,,,,,,,,,,,,,,,
48,0.272311123038781,0.203684408440057,b4467,b2836,b1478,b4382,b1241,b0351,b4069,b4384,b0871,b3115,b1849,b2296,b2925,b2097,b3617,b0030,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b1779,b1982,b0477,b4139,b3946,b0825,b0261,b2799,b3945,b1602,b0507,b2406,b3915,b2975,b0114,b3603,b0529,b2492,b0904,b3029,b1380,b2660,b3662,b2285,b1009,,,,,,,,,,,,,,
49,0.414757060988541,0.290116619313315,b3553,b1478,b3399,b1241,b4069,b2502,b2744,b2297,b2458,b3844,b1004,b3713,b1109,b0046,b3236,b1638,b1779,b0207,b3012,b1982,b4139,b1033,b4374,b0675,b2361,b2291,b4014,b0261,b2976,b2799,b1602,b0153,b2913,b0590,b0509,b3125,b0529,b2492,b0904,b2954,b1781,b3001,b1298,b3029,b1380,b0325,b1771,b2285,b1009,,,,,,,,,,,,,
52,0.409223698727936,0.0346509143807759,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b2744,b3708,b3008,b1479,b0512,b0871,b3236,b1779,b3962,b1982,b0104,b2797,b3117,b1814,b4471,b3616,b3589,b4267,b4374,b0675,b2361,b2291,b1014,b0261,b0822,b2799,b2913,b0112,b1745,b2975,b0114,b3603,b0306,b1539,b3605,b2492,b0904,b1533,b3821,b1380,b0508,b4042,b4266,,,,,,,,,,
62,0.47077107807602,0.005925360141839,b3553,b1478,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b2502,b2744,b3708,b3008,b2930,b4232,b3697,b3925,b0871,b2926,b1004,b3713,b1109,b0046,b3236,b1638,b2690,b0121,b1982,b4139,b2797,b3117,b1814,b4471,b1033,b4374,b0675,b2361,b2291,b4014,b0261,b2976,b2799,b3945,b1602,b0507,b2342,b3845,b2913,b3915,b2366,b2492,b0904,b2954,b1298,b1533,b3029,b3821,b1380,b4141,b1798,b2285,b1007
